"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Hip Thrust (Barbell)",,"",2,"normal",80,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Hip Thrust (Barbell)",,"",3,"normal",80,6,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Lying Leg Curl (Machine)",,"",0,"normal",40,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Lying Leg Curl (Machine)",,"",1,"normal",40,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Lying Leg Curl (Machine)",,"",2,"normal",35,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Lying Leg Curl (Machine)",,"",3,"normal",35,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Back Extension (Weighted Hyperextension)",,"",0,"normal",,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Back Extension (Weighted Hyperextension)",,"",1,"normal",,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Back Extension (Weighted Hyperextension)",,"",2,"normal",,10,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Seated Calf Raise",,"",0,"normal",40,12,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Seated Calf Raise",,"",1,"normal",40,12,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Seated Calf Raise",,"",2,"normal",40,12,,,
"Routine 1 - Lower","20 Jul 2026, 18:56","20 Jul 2026, 20:08","","Seated Calf Raise",,"",3,"normal",40,12,,,
